City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Atuona,PF,-9.8,-139.0333,78.8,74,7,17.69,clear sky
69,Khatanga,RU,71.9667,102.5,-38.04,99,28,2.3,scattered clouds
70,Pajapan,MX,18.25,-94.7,70.11,90,2,2.51,clear sky
71,Tibati,CM,6.4667,12.6333,62.53,30,20,3.38,few clouds
72,Hilo,US,19.7297,-155.09,73.8,86,75,6.91,broken clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,70.09,86,0,1.01,clear sky
74,Barrow,US,71.2906,-156.7887,-16.58,69,0,10.36,haze
75,Butaritari,KI,3.0707,172.7902,82.36,76,19,13.42,few clouds
76,Kaitangata,NZ,-46.2817,169.8464,80.2,51,94,8.52,overcast clouds
77,College,US,64.8569,-147.8028,-9.42,71,20,0.0,few clouds
78,Provideniya,RU,64.3833,-173.3,14.11,62,20,29.08,few clouds
79,Constitucion,MX,23.9912,-104.6749,50.13,26,0,8.81,clear sky
80,Chuy,UY,-33.6971,-53.4616,62.06,77,0,6.67,clear sky
81,Bluff,NZ,-46.6,168.3333,72.81,85,89,10.56,overcast clouds
82,Luderitz,NA,-26.6481,15.1594,63.5,92,59,8.16,broken clouds
83,Mahebourg,MU,-20.4081,57.7,80.26,94,75,26.46,broken clouds
84,Saskylakh,RU,71.9167,114.0833,-28.57,100,44,1.88,scattered clouds
85,Georgetown,SH,-7.9333,-14.4167,77.65,78,20,11.5,few clouds
86,San Javier,BO,-16.2739,-62.5044,68.31,99,100,4.16,overcast clouds
87,Eldorado,AR,-26.4045,-54.6258,71.8,46,2,1.81,clear sky
88,Okha,RU,53.5739,142.9478,2.1,89,97,21.92,overcast clouds
89,Thompson,CA,55.7435,-97.8558,-23.64,69,0,6.91,clear sky
90,Ancud,CL,-41.8697,-73.8203,59.23,93,100,3.67,overcast clouds
91,Syamzha,RU,60.0158,41.0614,18.86,96,100,4.97,light snow
92,Nebbi,UG,2.4783,31.0889,74.55,49,98,1.92,overcast clouds
93,Porto Novo,CV,17.0197,-25.0647,69.8,78,2,7.38,clear sky
94,Pangody,RU,65.85,74.4859,-16.6,100,94,6.91,overcast clouds
95,Cabra,PH,13.8883,120.0494,80.4,72,37,23.71,scattered clouds
96,Khingansk,RU,49.1167,131.1833,-3.53,92,99,6.42,overcast clouds
97,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,14.97,scattered clouds
98,Lagos,NG,6.5833,3.75,75.52,83,6,3.6,clear sky
99,Igarapava,BR,-20.0383,-47.7469,70.72,96,100,1.03,moderate rain
100,Inhambane,MZ,-23.865,35.3833,71.58,100,20,0.0,few clouds
101,Vila Velha,BR,-20.3297,-40.2925,72.95,95,100,5.75,thunderstorm with rain
102,Cherskiy,RU,68.75,161.3,9.99,68,100,4.12,overcast clouds
103,Road Town,VG,18.4167,-64.6167,75.99,76,4,12.75,clear sky
104,Aanekoski,FI,62.6946,25.818,15.87,93,99,3.0,light snow
105,Gamba,GA,-2.65,10.0,77.54,88,100,4.59,light rain
106,Alamor,EC,-4.0181,-80.0197,63.64,89,98,4.36,light rain
107,Ponta Do Sol,CV,17.1994,-25.0919,69.58,81,2,7.38,clear sky
108,Kunzelsau,DE,49.2819,9.6889,44.65,93,100,14.97,overcast clouds
109,Lavrentiya,RU,65.5833,-171.0,-0.69,83,1,14.36,clear sky
110,New Ulm,US,44.3125,-94.4605,7.47,73,0,21.85,clear sky
111,Solnechnyy,RU,50.7214,136.6319,4.44,89,100,2.77,overcast clouds
112,Egvekinot,RU,66.3167,-179.1667,-5.48,84,66,20.4,broken clouds
113,Mozarlandia,BR,-14.7447,-50.5706,71.42,94,95,1.95,moderate rain
114,Lima,PE,-12.0432,-77.0282,71.91,74,0,16.11,clear sky
115,Arraias,BR,-12.9288,-46.9437,67.5,91,42,1.39,scattered clouds
116,Dikson,RU,73.5069,80.5464,1.71,93,100,16.26,overcast clouds
117,Bowen,AU,-20.0167,148.2333,91.62,68,100,10.76,overcast clouds
118,Nemuro,JP,43.3236,145.575,25.23,64,21,19.44,few clouds
119,Gdansk,PL,54.3521,18.6464,38.08,95,100,3.44,mist
120,Shimanovsk,RU,52.0,127.7,1.29,73,7,8.88,clear sky
121,Lindas,NO,60.7381,5.16,35.65,88,99,18.68,overcast clouds
122,Tuatapere,NZ,-46.1333,167.6833,71.82,93,91,5.35,light rain
123,Port-Gentil,GA,-0.7193,8.7815,81.12,75,98,10.98,light rain
124,Tiksi,RU,71.6872,128.8694,-8.73,96,100,7.58,overcast clouds
125,Port Alfred,ZA,-33.5906,26.891,77.49,74,100,7.18,overcast clouds
126,Klaksvik,FO,62.2266,-6.589,36.52,72,100,21.07,overcast clouds
127,Isangel,VU,-19.55,169.2667,86.11,79,75,2.3,broken clouds
128,Sao Filipe,CV,14.8961,-24.4956,72.95,78,10,13.89,clear sky
129,Castro,CL,-42.4721,-73.7732,59.18,87,0,5.75,clear sky
130,Makokou,GA,0.5738,12.8642,73.4,74,96,2.21,light rain
131,Bredasdorp,ZA,-34.5322,20.0403,71.73,80,8,4.03,light rain
132,Aksu,KZ,52.0333,76.9167,-0.42,97,89,2.82,overcast clouds
133,Lagoa,PT,39.05,-27.9833,58.93,72,11,14.27,few clouds
134,Flin Flon,CA,54.7682,-101.865,-10.7,87,100,10.94,overcast clouds
135,Tha Chang,TH,9.2642,99.1922,82.42,78,20,5.75,few clouds
136,Santa Lucia,ES,27.9117,-15.5407,63.77,35,20,3.44,few clouds
137,Delaware,US,39.0004,-75.4999,33.93,94,0,9.22,clear sky
138,Hobart,AU,-42.8794,147.3294,65.01,42,75,17.27,broken clouds
139,Esperance,AU,-33.8667,121.9,73.24,46,21,19.24,few clouds
140,Neuquen,AR,-38.9516,-68.0591,85.89,28,0,12.66,clear sky
141,Pastavy,BY,55.1168,26.8326,19.96,96,99,6.33,overcast clouds
142,Vallenar,CL,-28.5708,-70.7581,66.31,64,0,3.58,clear sky
143,Tasiilaq,GL,65.6145,-37.6368,10.56,70,100,4.61,overcast clouds
144,Huarmey,PE,-10.0681,-78.1522,71.53,79,84,8.77,broken clouds
145,Riviere-Au-Renard,CA,48.9957,-64.3971,6.8,90,100,9.28,overcast clouds
146,Pangnirtung,CA,66.1451,-65.7125,-18.85,81,82,6.42,broken clouds
147,Broome,AU,-17.9667,122.2333,82.35,74,75,16.11,broken clouds
148,Belmopan,BZ,17.25,-88.7667,75.29,99,6,3.02,clear sky
149,Borger,US,35.6678,-101.3974,38.88,52,100,5.99,overcast clouds
150,Rawlins,US,41.7911,-107.2387,14.22,56,0,5.75,clear sky
151,Kayerkan,RU,69.3497,87.7602,1.53,84,98,5.84,overcast clouds
152,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,26.46,moderate rain
153,Gladstone,AU,-23.85,151.25,93.78,49,100,8.05,overcast clouds
154,Port Elizabeth,ZA,-33.918,25.5701,73.09,88,0,2.3,clear sky
155,Bethel,US,41.3712,-73.414,34.16,74,100,0.0,overcast clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,70.52,62,0,5.99,clear sky
157,Aljezur,PT,37.3191,-8.8033,51.69,56,0,4.88,clear sky
158,Smithers,CA,54.7804,-127.1743,19.72,58,100,6.91,overcast clouds
159,Krasnoborsk,RU,61.5598,45.934,22.19,96,96,4.74,snow
160,Laguna,BR,-28.4825,-48.7808,73.06,85,64,5.82,broken clouds
161,Aklavik,CA,68.2191,-135.0107,-15.77,100,96,4.27,overcast clouds
162,Iskateley,RU,67.6803,53.1512,-0.51,97,100,6.55,overcast clouds
163,Riyadh,SA,24.6877,46.7219,48.34,46,0,10.02,clear sky
164,Nyuksenitsa,RU,60.4128,44.2397,24.1,95,100,7.58,light snow
165,Puerto Ayora,EC,-0.7393,-90.3518,74.55,95,100,3.0,overcast clouds
166,Nantucket,US,41.2835,-70.0995,37.96,74,100,9.22,overcast clouds
167,Bengkulu,ID,-3.8004,102.2655,75.76,77,100,5.64,moderate rain
168,Nikolskoye,RU,59.7035,30.7861,24.69,97,99,2.39,snow
169,Yenagoa,NG,4.9247,6.2642,75.36,80,9,3.67,clear sky
170,Xining,CN,36.6167,101.7667,15.57,60,34,2.71,scattered clouds
171,La Union,HN,14.8167,-88.4,59.9,89,31,0.87,scattered clouds
172,Mishkino,RU,55.3389,63.9175,19.58,83,100,15.75,overcast clouds
173,Hofn,IS,64.2539,-15.2082,26.42,69,54,8.23,broken clouds
174,Beringovskiy,RU,63.05,179.3167,1.58,83,93,17.74,overcast clouds
175,Vanimo,PG,-2.6741,141.3028,82.0,78,82,4.41,light rain
176,Ahipara,NZ,-35.1667,173.1667,75.99,63,100,14.72,overcast clouds
177,Lebu,CL,-37.6167,-73.65,58.15,94,10,9.78,clear sky
178,East London,ZA,-33.0153,27.9116,76.73,72,99,4.52,overcast clouds
179,Mildura,AU,-34.2,142.15,71.08,28,0,13.8,clear sky
180,Miri,MY,4.4148,114.0089,82.54,83,40,3.44,scattered clouds
181,Norman Wells,CA,65.282,-126.8329,-29.16,68,20,2.3,few clouds
182,Rena,NO,61.1348,11.3641,13.77,98,100,1.1,overcast clouds
183,Lorengau,PG,-2.0226,147.2712,77.56,86,100,6.71,overcast clouds
184,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.4,97,100,3.24,overcast clouds
185,Oksbol,DK,55.6268,8.2876,41.92,83,99,33.71,overcast clouds
186,Faanui,PF,-16.4833,-151.75,81.12,76,10,19.53,clear sky
187,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,0.0,broken clouds
188,Gillette,US,44.2911,-105.5022,9.95,67,0,3.44,clear sky
189,Deputatskiy,RU,69.3,139.9,-14.19,98,100,1.3,overcast clouds
190,Yangambi,CD,0.8102,24.4336,71.26,73,96,0.67,overcast clouds
191,Leon Valley,US,29.4952,-98.6186,63.52,71,0,1.01,clear sky
192,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,78,87,10.69,overcast clouds
193,Goure,NE,13.9835,10.2704,59.02,18,0,7.9,clear sky
194,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.3,97,100,5.61,heavy intensity rain
195,Ruteng,ID,-8.6136,120.4721,76.77,57,15,3.6,few clouds
196,Fartura,BR,-23.3883,-49.51,70.29,93,100,4.54,overcast clouds
197,Kearney,US,40.6995,-99.0815,25.36,42,100,20.71,overcast clouds
198,Teya,RU,60.3778,92.6267,1.38,99,93,4.14,overcast clouds
199,Krylovskaya,RU,46.3194,39.9711,36.97,84,100,8.39,light rain
200,Vao,NC,-22.6667,167.4833,78.42,84,92,19.3,overcast clouds
201,Khash,IR,28.2211,61.2158,45.79,69,0,10.98,clear sky
202,Stornoway,GB,58.2093,-6.3865,43.93,91,75,3.0,broken clouds
203,Durango,MX,24.8333,-104.8333,52.75,24,2,8.79,clear sky
204,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.6,77,100,9.22,overcast clouds
205,Mount Gambier,AU,-37.8333,140.7667,64.31,45,100,13.8,overcast clouds
206,Vestmannaeyjar,IS,63.4427,-20.2734,37.2,88,100,12.82,overcast clouds
207,Orocue,CO,4.7912,-71.3354,81.0,38,100,6.02,overcast clouds
208,Sant Julia De Loria,AD,42.4625,1.4825,41.7,91,21,9.22,few clouds
209,Kavaratti,IN,10.5669,72.642,80.37,68,6,9.26,clear sky
210,Kuryk,KZ,43.2,51.65,38.64,72,25,6.46,scattered clouds
211,Bintulu,MY,3.1667,113.0333,86.41,79,20,2.3,few clouds
212,Nijar,ES,36.9665,-2.206,46.04,57,0,9.22,clear sky
213,Lira,UG,2.235,32.9097,73.02,49,99,2.89,overcast clouds
214,Dwarka,IN,22.2394,68.9678,71.65,75,0,8.55,clear sky
215,Ust-Omchug,RU,61.15,149.6333,-5.87,92,87,7.52,overcast clouds
216,Upernavik,GL,72.7868,-56.1549,-13.68,74,100,5.57,overcast clouds
217,Northam,AU,-31.6667,116.6667,79.21,27,51,18.63,broken clouds
218,Cleburne,US,32.3476,-97.3867,63.97,79,100,8.05,overcast clouds
219,Montepuez,MZ,-13.1256,38.9997,67.55,98,17,0.85,few clouds
220,Aranos,NA,-24.1333,19.1167,71.19,77,95,4.59,light rain
221,Okhotsk,RU,59.3833,143.3,2.19,76,15,17.52,few clouds
222,Guaratinga,BR,-16.5667,-39.5667,77.67,97,2,2.19,clear sky
223,Ust-Tsilma,RU,65.441,52.1498,12.02,95,100,6.31,overcast clouds
224,Skeldon,GY,5.8833,-57.1333,74.3,91,55,6.42,broken clouds
225,Krasnoselkup,RU,65.7,82.4667,-16.11,100,93,3.51,overcast clouds
